event,date,location,r_fighter,b_fighter,status,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,round,time
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Rose Namajunas,Amanda Ribas,win,0,0,93,83,1,4,0,0,Women's Flyweight,U-DEC,,5,5:00
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Karl Williams,Justin Tafa,win,0,0,40,21,7,0,1,0,Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Edmen Shahbazyan,AJ Dobson,win,1,0,27,15,1,0,0,0,Middleweight,KO/TKO,Punches,1,4:33
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Payton Talbott,Cameron Saaiman,win,1,0,79,31,0,0,0,0,Bantamweight,KO/TKO,Punches,2,0:21
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Youssef Zalal,Billy Quarantillo,win,0,0,33,10,2,0,2,0,Featherweight,SUB,Rear Naked Choke,2,1:50
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Fernando Padilla,Luis Pajuelo,win,1,0,34,5,0,0,1,0,Featherweight,SUB,D'Arce Choke,1,2:45
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Trey Ogden,Kurt Holobaugh,win,0,0,35,29,3,0,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Julian Erosa,Ricardo Ramos,win,0,0,4,7,0,2,1,0,Featherweight,SUB,Guillotine Choke,1,2:15
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Miles Johns,Cody Gibson,win,0,0,25,18,2,1,0,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Jarno Errens,Steven Nguyen,win,1,0,105,63,0,1,0,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Daria Zhelezniakova,Montserrat Rendon,win,0,0,57,25,0,3,0,0,Women's Bantamweight,U-DEC,,3,5:00
